filename,label,score,spoof_prob,bonafide_prob,logit_spoof,logit_bonafide,start_time,end_time
audio 1,bonafide,0.500815805,0.500815805,0.499184195,0.003263224,-0.003263224,0.000000,10.000000
audio 2,spoof,0.500727144,0.500727144,0.499272856,0.002908580,-0.002908580,5.000000,15.000000
audio 3,spoof,0.500740956,0.500740956,0.499259044,0.002963826,-0.002963826,10.000000,20.000000
audio 4,bonafide,0.500846207,0.500846207,0.499153793,0.003384832,-0.003384832,15.000000,25.000000
audio 5,bonafide,0.500876172,0.500876172,0.499123828,0.003504694,-0.003504694,20.000000,30.000000
