filename,label,score,spoof_prob,bonafide_prob,logit_spoof,logit_bonafide,start_time,end_time
audio 1,bonafide,0.488582102,0.488582102,0.511417898,-0.045679532,0.045679532,0.000000,10.000000
audio 2,bonafide,0.482571578,0.482571578,0.517428422,-0.069741942,0.069741942,5.000000,15.000000
audio 3,bonafide,0.483913628,0.483913628,0.516086372,-0.064367704,0.064367704,10.000000,20.000000
audio 4,bonafide,0.490257677,0.490257677,0.509742323,-0.038974226,0.038974226,15.000000,25.000000
audio 5,bonafide,0.492846428,0.492846428,0.507153572,-0.028616242,0.028616242,20.000000,30.000000
