filename,label,score,spoof_prob,bonafide_prob,logit_spoof,logit_bonafide,start_time,end_time
audio 1,spoof,0.464645584,0.464645584,0.535354416,-0.141654059,0.141654059,0.000000,10.000000
audio 2,spoof,0.462830706,0.462830706,0.537169294,-0.148951963,0.148951963,5.000000,15.000000
audio 3,spoof,0.463115354,0.463115354,0.536884646,-0.147807091,0.147807091,10.000000,20.000000
audio 4,spoof,0.464060595,0.464060595,0.535939405,-0.144005969,0.144005969,15.000000,25.000000
audio 5,spoof,0.465533863,0.465533863,0.534466137,-0.138083532,0.138083532,20.000000,30.000000
