filename,label,score,spoof_prob,bonafide_prob,logit_spoof,logit_bonafide,start_time,end_time
audio 1,bonafide,0.505535547,0.505535547,0.494464453,0.022143094,-0.022143094,0.000000,10.000000
audio 2,spoof,0.498464464,0.498464464,0.501535536,-0.006142162,0.006142162,5.000000,15.000000
audio 3,spoof,0.498146402,0.498146402,0.501853598,-0.007414427,0.007414427,10.000000,20.000000
audio 4,bonafide,0.503591660,0.503591660,0.496408340,0.014366888,-0.014366888,15.000000,25.000000
audio 5,bonafide,0.504469566,0.504469566,0.495530434,0.017878739,-0.017878739,20.000000,30.000000
