filename,label,score,spoof_prob,bonafide_prob,logit_spoof,logit_bonafide,start_time,end_time
audio 1,bonafide,0.497547244,0.497547244,0.502452756,-0.009811103,0.009811103,0.000000,10.000000
audio 2,spoof,0.497149220,0.497149220,0.502850780,-0.011403244,0.011403244,5.000000,15.000000
audio 3,spoof,0.497190433,0.497190433,0.502809567,-0.011238385,0.011238385,10.000000,20.000000
audio 4,spoof,0.497383354,0.497383354,0.502616646,-0.010466680,0.010466680,15.000000,25.000000
audio 5,bonafide,0.497557896,0.497557896,0.502442104,-0.009768493,0.009768493,20.000000,30.000000
