log_file,job_date,experiment_name,MODEL_NAME,MODEL_ID,SUPCON_SIMILARITY,TEMPERATURE,UNIFORMITY_WEIGHT,UNIFORMITY_T,QUEUE_SIZE,USE_QUEUE,GLOBAL_CENTER,CENTER_BEFORE_NORM,TOPK_NEG,WARMUP_EPOCHS,ALPHA_END,ALPHA_RAMP_EPOCHS,MAX_DURATION_SECONDS,BATCH_SIZE,ACCUM_STEPS,NUM_WORKERS,SEED,RAWBOOST_PROB,USE_RAWBOOST,FINETUNE_ENCODER,HEAD_LR,ENC_LR,WEIGHT_DECAY,NUM_SAMPLES,TARGET_SAMPLE_RATE,INPUT_DIM,HIDDEN_DIM,DROPOUT,USE_RAVDESS,USE_COMMONVOICE,best_dev_loss,best_dev_epoch,final_train_loss,final_dev_loss,eer_asv19,eer_itw,eer_asv5,eer_famous_figures,eer_fakexpose,eer_mlaad,eer_asv21_df,eer_asv21_la,hyperparams
hbm_256_mem_bank_32768_supcon_geodesic_temp_0.5-41532779.log,2026-02-02 00:31:47,hbm_256_mem_bank_32768_supcon_geodesic_temp_0.5,facebook/wav2vec2-xls-r-300m,wav2vec2-xls-r-300m,geodesic,0.5,0.0,0.5,32768,1,1,1,256,3,0.9,20,10,32,1,4,1337,0.7,True,True,0.005,1e-05,0.003,None,16000,1024,256,0.1,False,False,1.1121,16,1.1108,1.1121,0.1906619084886093,12.193942298668922,17.789591776766645,51.17137341646466,66.4025759604114,,,,"TEMPERATURE=0.5
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
QUEUE_SIZE=32768
GLOBAL_CENTER=1
TOPK_NEG=256
WARMUP_EPOCHS=3
ALPHA_END=0.9
ALPHA_RAMP_EPOCHS=20"
hbm_256_mem_bank_32768_supcon_geodesic_temp_0.5-41533094.log,2026-02-02 00:33:49,hbm_256_alp_ramp_2_alp_end_1_mem_bank_32768_supcon_geodesic_temp_0.5,facebook/wav2vec2-xls-r-300m,wav2vec2-xls-r-300m,geodesic,0.5,0.0,0.5,32768,1,1,1,256,3,1.0,2,10,32,1,4,1337,0.7,True,True,0.005,1e-05,0.003,None,16000,1024,256,0.1,False,False,0.9953,16,0.9956,0.9953,0.14991759853967665,11.230655902654847,16.50033999797984,44.30626575598245,63.006277894133824,,,,"TEMPERATURE=0.5
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
QUEUE_SIZE=32768
GLOBAL_CENTER=1
TOPK_NEG=256
WARMUP_EPOCHS=3
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=2"
mem_bank_0_supcon_geodesic_temp_0.2-40856300.log,2026-01-25 18:04:36,mem_bank_0_supcon_geodesic_temp_0.2,facebook/wav2vec2-xls-r-300m,wav2vec2-xls-r-300m,geodesic,0.2,0.0,0.5,1024,0,1,1,15,100,1.0,80,5,32,1,4,1337,0.7,True,True,0.005,1e-05,0.003,None,16000,1024,256,0.1,False,False,1.2463,22,1.2412,1.2463,1.9988192667688562,15.233381484927888,16.433329730098865,39.99125896412307,67.08612190028501,,,,"TEMPERATURE=0.2
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
QUEUE_SIZE=1024
GLOBAL_CENTER=1
TOPK_NEG=15
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
mem_bank_0_supcon_geodesic_temp_0.5-41375606.log,2026-01-30 15:11:52,mem_bank_0_supcon_geodesic_temp_0.5,,,,,,,512,0,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"QUEUE_SIZE=512
GLOBAL_CENTER=1"
mem_bank_0_supcon_geodesic_temp_0.5-41375761.log,2026-01-30 15:21:12,mem_bank_0_supcon_geodesic_temp_0.5,facebook/wav2vec2-xls-r-300m,wav2vec2-xls-r-300m,geodesic,0.5,0.0,0.5,512,0,1,1,15,100,0.9,20,10,32,1,4,1337,0.7,True,True,0.005,1e-05,0.003,None,16000,1024,256,0.1,False,False,1.9683,25,1.9883,1.9684,,,,,,,,,"TEMPERATURE=0.5
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
QUEUE_SIZE=512
GLOBAL_CENTER=1
TOPK_NEG=15
WARMUP_EPOCHS=100
ALPHA_END=0.9
ALPHA_RAMP_EPOCHS=20"
mem_bank_0_supcon_geodesic_temp_0.5-41413124.log,2026-01-30 20:42:14,mem_bank_0_supcon_geodesic_temp_0.5,,,,,,,512,0,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"QUEUE_SIZE=512
GLOBAL_CENTER=1"
mem_bank_0_supcon_geodesic_temp_0.5-41413255.log,2026-01-30 20:46:51,mem_bank_0_supcon_geodesic_temp_0.5,,,,,,,512,0,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"QUEUE_SIZE=512
GLOBAL_CENTER=1"
mem_bank_0_supcon_geodesic_temp_0.5-41415271.log,2026-01-30 21:11:27,mem_bank_0_supcon_geodesic_temp_0.5,,,,,,,512,0,1,1,,,,,,,1,,,,,,,,,,,,,,,,1.2455,18,1.2405,1.2455,0.2583081940400353,20.761699385908617,16.216250661098375,,,,,,"QUEUE_SIZE=512
GLOBAL_CENTER=1"
mem_bank_0_supcon_geodesic_temp_0.5-41434639.log,2026-01-31 03:01:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2583081940400353,20.761699385908617,16.216250661098375,47.085573249991114,57.9447622510731,,,,
mem_bank_0_supcon_temp_0.2-40852316.log,2026-01-25 15:53:46,mem_bank_1024_supcon_temp_0.2,facebook/wav2vec2-xls-r-300m,wav2vec2-xls-r-300m,cosine,0.2,0.0,0.5,1024,0,1,1,15,100,1.0,80,5,32,1,4,1337,0.7,True,True,0.005,1e-05,0.003,None,16000,1024,256,0.1,False,False,1.0828,24,1.0674,1.0828,0.21756388409110264,14.64162619261341,14.93857811173893,46.29570315291168,59.3266645573606,,,,"TEMPERATURE=0.2
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=0.5
QUEUE_SIZE=1024
GLOBAL_CENTER=1
TOPK_NEG=15
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80"
