filename,label,score,spoof_prob,bonafide_prob,logit_spoof,logit_bonafide,start_time,end_time
audio 1,spoof,0.497084834,0.502915166,0.497084834,0.011660796,-0.011660796,0.000000,10.000000
audio 2,spoof,0.495956878,0.504043122,0.495956878,0.016172841,-0.016172841,5.000000,15.000000
audio 3,spoof,0.495770533,0.504229467,0.495770533,0.016918272,-0.016918272,10.000000,20.000000
audio 4,spoof,0.495861116,0.504138884,0.495861116,0.016555913,-0.016555913,15.000000,25.000000
audio 5,spoof,0.495536362,0.504463638,0.495536362,0.017855026,-0.017855026,20.000000,30.000000
audio 6,spoof,0.495902004,0.504097996,0.495902004,0.016392350,-0.016392350,25.000000,35.000000
audio 7,spoof,0.495476606,0.504523394,0.495476606,0.018094070,-0.018094070,30.000000,40.000000
audio 8,spoof,0.496057704,0.503942296,0.496057704,0.015769511,-0.015769511,35.000000,45.000000
audio 9,spoof,0.496773383,0.503226617,0.496773383,0.012906648,-0.012906648,40.000000,50.000000
audio 10,spoof,0.496915994,0.503084006,0.496915994,0.012336180,-0.012336180,45.000000,55.000000
audio 11,spoof,0.496855179,0.503144821,0.496855179,0.012579449,-0.012579449,50.000000,60.000000
audio 12,spoof,0.497342911,0.502657089,0.497342911,0.010628454,-0.010628454,55.000000,65.000000
audio 13,spoof,0.495903376,0.504096624,0.495903376,0.016386863,-0.016386863,60.000000,70.000000
audio 14,spoof,0.495805874,0.504194126,0.495805874,0.016776897,-0.016776897,65.000000,75.000000
audio 15,spoof,0.496160944,0.503839056,0.496160944,0.015356526,-0.015356526,70.000000,80.000000
audio 16,spoof,0.495850489,0.504149511,0.495850489,0.016598426,-0.016598426,75.000000,85.000000
audio 17,spoof,0.495610518,0.504389482,0.495610518,0.017558381,-0.017558381,80.000000,90.000000
audio 18,spoof,0.495574545,0.504425455,0.495574545,0.017702281,-0.017702281,85.000000,95.000000
audio 19,spoof,0.495632607,0.504367393,0.495632607,0.017470017,-0.017470017,90.000000,100.000000
audio 20,spoof,0.495961043,0.504038957,0.495961043,0.016156178,-0.016156178,95.000000,105.000000
audio 21,spoof,0.495917325,0.504082675,0.495917325,0.016331062,-0.016331062,100.000000,110.000000
audio 22,spoof,0.495904588,0.504095412,0.495904588,0.016382016,-0.016382016,105.000000,115.000000
audio 23,spoof,0.496896513,0.503103487,0.496896513,0.012414109,-0.012414109,110.000000,120.000000
audio 24,spoof,0.496187411,0.503812589,0.496187411,0.015250653,-0.015250653,115.000000,125.000000
audio 25,spoof,0.495952304,0.504047696,0.495952304,0.016191136,-0.016191136,120.000000,130.000000
