filename,label,score,spoof_prob,bonafide_prob,logit_spoof,logit_bonafide,start_time,end_time
audio 1,bonafide,0.500709762,0.499290238,0.500709762,-0.002839051,0.002839051,0.000000,10.000000
audio 2,bonafide,0.500590572,0.499409428,0.500590572,-0.002362289,0.002362289,5.000000,15.000000
audio 3,bonafide,0.500525186,0.499474814,0.500525186,-0.002100743,0.002100743,10.000000,20.000000
audio 4,bonafide,0.500506303,0.499493697,0.500506303,-0.002025213,0.002025213,15.000000,25.000000
audio 5,bonafide,0.500523915,0.499476085,0.500523915,-0.002095662,0.002095662,20.000000,30.000000
audio 6,bonafide,0.500506989,0.499493011,0.500506989,-0.002027955,0.002027955,25.000000,35.000000
audio 7,bonafide,0.500465575,0.499534425,0.500465575,-0.001862299,0.001862299,30.000000,40.000000
audio 8,bonafide,0.500489380,0.499510620,0.500489380,-0.001957521,0.001957521,35.000000,45.000000
audio 9,bonafide,0.500627641,0.499372359,0.500627641,-0.002510566,0.002510566,40.000000,50.000000
audio 10,bonafide,0.500777112,0.499222888,0.500777112,-0.003108449,0.003108449,45.000000,55.000000
audio 11,bonafide,0.500703432,0.499296568,0.500703432,-0.002813730,0.002813730,50.000000,60.000000
audio 12,bonafide,0.500614725,0.499385275,0.500614725,-0.002458900,0.002458900,55.000000,65.000000
audio 13,bonafide,0.500523303,0.499476697,0.500523303,-0.002093211,0.002093211,60.000000,70.000000
audio 14,bonafide,0.500518444,0.499481556,0.500518444,-0.002073776,0.002073776,65.000000,75.000000
audio 15,bonafide,0.500521716,0.499478284,0.500521716,-0.002086867,0.002086867,70.000000,80.000000
audio 16,bonafide,0.500523079,0.499476921,0.500523079,-0.002092317,0.002092317,75.000000,85.000000
audio 17,bonafide,0.500487446,0.499512554,0.500487446,-0.001949783,0.001949783,80.000000,90.000000
audio 18,bonafide,0.500448752,0.499551248,0.500448752,-0.001795009,0.001795009,85.000000,95.000000
audio 19,bonafide,0.500514085,0.499485915,0.500514085,-0.002056342,0.002056342,90.000000,100.000000
audio 20,bonafide,0.500559965,0.499440035,0.500559965,-0.002239861,0.002239861,95.000000,105.000000
audio 21,bonafide,0.500516698,0.499483302,0.500516698,-0.002066791,0.002066791,100.000000,110.000000
audio 22,bonafide,0.500531594,0.499468406,0.500531594,-0.002126377,0.002126377,105.000000,115.000000
audio 23,bonafide,0.500537554,0.499462446,0.500537554,-0.002150215,0.002150215,110.000000,120.000000
audio 24,bonafide,0.500464653,0.499535347,0.500464653,-0.001858614,0.001858614,115.000000,125.000000
audio 25,bonafide,0.500453609,0.499546391,0.500453609,-0.001814436,0.001814436,120.000000,130.000000
audio 26,bonafide,0.500487588,0.499512412,0.500487588,-0.001950353,0.001950353,125.000000,135.000000
audio 27,bonafide,0.500527810,0.499472190,0.500527810,-0.002111241,0.002111241,130.000000,140.000000
audio 28,bonafide,0.500517331,0.499482669,0.500517331,-0.002069324,0.002069324,135.000000,145.000000
audio 29,bonafide,0.500502797,0.499497203,0.500502797,-0.002011187,0.002011187,140.000000,150.000000
audio 30,bonafide,0.500503644,0.499496356,0.500503644,-0.002014577,0.002014577,145.000000,155.000000
audio 31,bonafide,0.500491796,0.499508204,0.500491796,-0.001967184,0.001967184,150.000000,160.000000
audio 32,bonafide,0.500508647,0.499491353,0.500508647,-0.002034590,0.002034590,155.000000,165.000000
audio 33,bonafide,0.500519492,0.499480508,0.500519492,-0.002077971,0.002077971,160.000000,170.000000
audio 34,bonafide,0.500458973,0.499541027,0.500458973,-0.001835894,0.001835894,165.000000,175.000000
audio 35,bonafide,0.500470327,0.499529673,0.500470327,-0.001881309,0.001881309,170.000000,180.000000
audio 36,bonafide,0.500483519,0.499516481,0.500483519,-0.001934078,0.001934078,175.000000,185.000000
audio 37,bonafide,0.500474542,0.499525458,0.500474542,-0.001898170,0.001898170,180.000000,190.000000
audio 38,bonafide,0.500496529,0.499503471,0.500496529,-0.001986116,0.001986116,185.000000,195.000000
audio 39,bonafide,0.500523416,0.499476584,0.500523416,-0.002093665,0.002093665,190.000000,200.000000
audio 40,bonafide,0.500506878,0.499493122,0.500506878,-0.002027512,0.002027512,195.000000,205.000000
audio 41,bonafide,0.500544690,0.499455310,0.500544690,-0.002178762,0.002178762,200.000000,210.000000
audio 42,bonafide,0.500570230,0.499429770,0.500570230,-0.002280921,0.002280921,205.000000,215.000000
audio 43,bonafide,0.500524829,0.499475171,0.500524829,-0.002099317,0.002099317,210.000000,220.000000
audio 44,bonafide,0.500501242,0.499498758,0.500501242,-0.002004970,0.002004970,215.000000,225.000000
audio 45,bonafide,0.500470348,0.499529652,0.500470348,-0.001881391,0.001881391,220.000000,230.000000
audio 46,bonafide,0.500483568,0.499516432,0.500483568,-0.001934271,0.001934271,225.000000,235.000000
