filename,label,score,spoof_prob,bonafide_prob,logit_spoof,logit_bonafide,start_time,end_time
audio 1,spoof,0.496834143,0.503165857,0.496834143,0.012663595,-0.012663595,0.000000,10.000000
audio 2,spoof,0.496597135,0.503402865,0.496597135,0.013611671,-0.013611671,5.000000,15.000000
audio 3,spoof,0.496497742,0.503502258,0.496497742,0.014009260,-0.014009260,10.000000,20.000000
audio 4,spoof,0.496453382,0.503546618,0.496453382,0.014186710,-0.014186710,15.000000,25.000000
audio 5,spoof,0.496464548,0.503535452,0.496464548,0.014142044,-0.014142044,20.000000,30.000000
audio 6,spoof,0.496522605,0.503477395,0.496522605,0.013909806,-0.013909806,25.000000,35.000000
audio 7,spoof,0.496423527,0.503576473,0.496423527,0.014306135,-0.014306135,30.000000,40.000000
audio 8,spoof,0.496441690,0.503558310,0.496441690,0.014233481,-0.014233481,35.000000,45.000000
audio 9,spoof,0.496689763,0.503310237,0.496689763,0.013241142,-0.013241142,40.000000,50.000000
audio 10,spoof,0.496862520,0.503137480,0.496862520,0.012550086,-0.012550086,45.000000,55.000000
audio 11,spoof,0.496767945,0.503232055,0.496767945,0.012928400,-0.012928400,50.000000,60.000000
audio 12,spoof,0.496652500,0.503347500,0.496652500,0.013390198,-0.013390198,55.000000,65.000000
audio 13,spoof,0.496479995,0.503520005,0.496479995,0.014080252,-0.014080252,60.000000,70.000000
audio 14,spoof,0.496470762,0.503529238,0.496470762,0.014117185,-0.014117185,65.000000,75.000000
audio 15,spoof,0.496510467,0.503489533,0.496510467,0.013958357,-0.013958357,70.000000,80.000000
audio 16,spoof,0.496518161,0.503481839,0.496518161,0.013927583,-0.013927583,75.000000,85.000000
audio 17,spoof,0.496452057,0.503547943,0.496452057,0.014192011,-0.014192011,80.000000,90.000000
audio 18,spoof,0.496406869,0.503593131,0.496406869,0.014372770,-0.014372770,85.000000,95.000000
audio 19,spoof,0.496500648,0.503499352,0.496500648,0.013997637,-0.013997637,90.000000,100.000000
audio 20,spoof,0.496660198,0.503339802,0.496660198,0.013359405,-0.013359405,95.000000,105.000000
audio 21,spoof,0.496498583,0.503501417,0.496498583,0.014005896,-0.014005896,100.000000,110.000000
audio 22,spoof,0.496475614,0.503524386,0.496475614,0.014097776,-0.014097776,105.000000,115.000000
audio 23,spoof,0.496487508,0.503512492,0.496487508,0.014050201,-0.014050201,110.000000,120.000000
audio 24,spoof,0.496438260,0.503561740,0.496438260,0.014247201,-0.014247201,115.000000,125.000000
audio 25,spoof,0.496459705,0.503540295,0.496459705,0.014161415,-0.014161415,120.000000,130.000000
audio 26,spoof,0.496549330,0.503450670,0.496549330,0.013802897,-0.013802897,125.000000,135.000000
audio 27,spoof,0.496540845,0.503459155,0.496540845,0.013836842,-0.013836842,130.000000,140.000000
audio 28,spoof,0.496452959,0.503547041,0.496452959,0.014188401,-0.014188401,135.000000,145.000000
audio 29,spoof,0.496423742,0.503576258,0.496423742,0.014305275,-0.014305275,140.000000,150.000000
audio 30,spoof,0.496473728,0.503526272,0.496473728,0.014105320,-0.014105320,145.000000,155.000000
audio 31,spoof,0.496424912,0.503575088,0.496424912,0.014300596,-0.014300596,150.000000,160.000000
audio 32,spoof,0.496429091,0.503570909,0.496429091,0.014283877,-0.014283877,155.000000,165.000000
audio 33,spoof,0.496497683,0.503502317,0.496497683,0.014009498,-0.014009498,160.000000,170.000000
