filename,label,score,spoof_prob,bonafide_prob,logit_spoof,logit_bonafide,start_time,end_time
audio 1,spoof,0.489448089,0.510551911,0.489448089,0.042213913,-0.042213913,0.000000,10.000000
audio 2,spoof,0.485358079,0.514641921,0.485358079,0.058584433,-0.058584433,5.000000,15.000000
audio 3,spoof,0.484700600,0.515299400,0.484700600,0.061216708,-0.061216708,10.000000,20.000000
audio 4,spoof,0.486717151,0.513282849,0.486717151,0.053143900,-0.053143900,15.000000,25.000000
audio 5,spoof,0.485120806,0.514879194,0.485120806,0.059534352,-0.059534352,20.000000,30.000000
audio 6,spoof,0.485878543,0.514121457,0.485878543,0.056500856,-0.056500856,25.000000,35.000000
audio 7,spoof,0.486666439,0.513333561,0.486666439,0.053346891,-0.053346891,30.000000,40.000000
audio 8,spoof,0.488699501,0.511300499,0.488699501,0.045209695,-0.045209695,35.000000,45.000000
audio 9,spoof,0.488337566,0.511662434,0.488337566,0.046658199,-0.046658199,40.000000,50.000000
audio 10,spoof,0.485981746,0.514018254,0.485981746,0.056087714,-0.056087714,45.000000,55.000000
audio 11,spoof,0.488244045,0.511755955,0.488244045,0.047032487,-0.047032487,50.000000,60.000000
audio 12,spoof,0.489839017,0.510160983,0.489839017,0.040649530,-0.040649530,55.000000,65.000000
audio 13,spoof,0.486045373,0.513954627,0.486045373,0.055833008,-0.055833008,60.000000,70.000000
audio 14,spoof,0.486770119,0.513229881,0.486770119,0.052931879,-0.052931879,65.000000,75.000000
audio 15,spoof,0.488104451,0.511895549,0.488104451,0.047591176,-0.047591176,70.000000,80.000000
audio 16,spoof,0.487110445,0.512889555,0.487110445,0.051569644,-0.051569644,75.000000,85.000000
audio 17,spoof,0.485731066,0.514268934,0.485731066,0.057091240,-0.057091240,80.000000,90.000000
audio 18,spoof,0.484425992,0.515574008,0.484425992,0.062316190,-0.062316190,85.000000,95.000000
audio 19,spoof,0.487161554,0.512838446,0.487161554,0.051365074,-0.051365074,90.000000,100.000000
audio 20,spoof,0.488668910,0.511331090,0.488668910,0.045332123,-0.045332123,95.000000,105.000000
audio 21,spoof,0.486457603,0.513542397,0.486457603,0.054182839,-0.054182839,100.000000,110.000000
audio 22,spoof,0.487129651,0.512870349,0.487129651,0.051492769,-0.051492769,105.000000,115.000000
audio 23,spoof,0.489393396,0.510606604,0.489393396,0.042432781,-0.042432781,110.000000,120.000000
audio 24,spoof,0.487310940,0.512689060,0.487310940,0.050767142,-0.050767142,115.000000,125.000000
audio 25,spoof,0.486248169,0.513751831,0.486248169,0.055021200,-0.055021200,120.000000,130.000000
audio 26,spoof,0.490697272,0.509302728,0.490697272,0.037215207,-0.037215207,125.000000,135.000000
audio 27,spoof,0.490054264,0.509945736,0.490054264,0.039788190,-0.039788190,130.000000,140.000000
