filename,label,score,spoof_prob,bonafide_prob,logit_spoof,logit_bonafide,start_time,end_time
audio 64,spoof,0.000000052,0.999999948,0.000000052,16.775375366,-16.775375366,315.000000,325.000000
audio 65,spoof,0.000000064,0.999999936,0.000000064,16.558216095,-16.558216095,320.000000,330.000000
audio 66,spoof,0.000000067,0.999999933,0.000000067,16.519535065,-16.519535065,325.000000,335.000000
audio 67,spoof,0.000000063,0.999999937,0.000000063,16.587476730,-16.587476730,330.000000,340.000000
audio 68,spoof,0.000000059,0.999999941,0.000000059,16.640378952,-16.640378952,335.000000,345.000000
audio 69,spoof,0.000000070,0.999999930,0.000000070,16.469797134,-16.469797134,340.000000,350.000000
audio 70,spoof,0.000000087,0.999999913,0.000000087,16.255704880,-16.255704880,345.000000,355.000000
audio 71,spoof,0.000000068,0.999999932,0.000000068,16.507143021,-16.507143021,350.000000,360.000000
audio 72,spoof,0.000000054,0.999999946,0.000000054,16.732686996,-16.732686996,355.000000,365.000000
audio 73,spoof,0.000000062,0.999999938,0.000000062,16.594131470,-16.594131470,360.000000,370.000000
audio 74,spoof,0.000000086,0.999999914,0.000000086,16.268716812,-16.268716812,365.000000,375.000000
audio 75,spoof,0.000000091,0.999999909,0.000000091,16.216747284,-16.216747284,370.000000,380.000000
audio 76,spoof,0.000000077,0.999999923,0.000000077,16.384101868,-16.384101868,375.000000,385.000000
audio 77,spoof,0.000000078,0.999999922,0.000000078,16.366825104,-16.366825104,380.000000,390.000000
audio 78,spoof,0.000000060,0.999999940,0.000000060,16.626901627,-16.626901627,385.000000,395.000000
audio 79,spoof,0.000000058,0.999999942,0.000000058,16.664087296,-16.664087296,390.000000,400.000000
audio 80,spoof,0.000000065,0.999999935,0.000000065,16.545644760,-16.545644760,395.000000,405.000000
audio 81,spoof,0.000000132,0.999999868,0.000000132,15.840261459,-15.840261459,400.000000,410.000000
